model,lead,fold,test_years,group,n_cells,n_flooded,base_rate,precision,recall,f1,csi,pr_auc,brier,threshold
climatology,6,1,2010-2011,recurring,383832,29654,0.077257758602722,0.2219106353269723,0.6431172860322385,0.3299652231084658,0.1975798514343731,0.2315812835769218,0.0664502281715621,0.13
persistence,6,2,2012-2013,all,59601600,188131,0.0031564756650828,0.1121469319604842,0.102821969797641,0.1072822008823717,0.056681561790345,0.0143630890705196,0.0054013818420981,0.5
climatology,6,2,2012-2013,all,59601600,188131,0.0031564756650828,0.2047481832688532,0.1896019263173002,0.1968841849618457,0.1091910920639779,0.072021645896411,0.0030935855618909,0.115
persistence,6,2,2012-2013,unusual,59217768,152182,0.002569870583437,0.0686445731811211,0.0635357663849864,0.0659914413830288,0.0341215870472775,0.0067679774516409,0.0046219236091437,0.5
climatology,6,2,2012-2013,unusual,59217768,152182,0.002569870583437,0.1510803324099723,0.1075160005782549,0.1256286422862232,0.0670244142225135,0.0320141089103352,0.0026204166532307,0.115
persistence,6,2,2012-2013,recurring,383832,35949,0.093658162946289,0.3058611532625189,0.2691312692981724,0.2863230789719004,0.1670811314889648,0.1507686230789637,0.1256565372350403,0.5
climatology,6,2,2012-2013,recurring,383832,35949,0.093658162946289,0.292927147495221,0.5370942168071434,0.3790974151556502,0.2338804433408031,0.280585112025295,0.0760942907085388,0.115
persistence,6,3,2014-2015,all,59601600,426837,0.0071615023757751,0.1939428544793511,0.1949620112595674,0.1944510974779096,0.1076963892843276,0.0435767704476697,0.0115681961558078,0.5
climatology,6,3,2014-2015,all,59601600,426837,0.0071615023757751,0.2167571392657287,0.1090791098241249,0.1451261231073741,0.0782404264329262,0.0619240695740549,0.0068694968354424,0.17
persistence,6,3,2014-2015,unusual,59217768,365599,0.0061738058077433,0.1678779427446476,0.1679380961107661,0.1679080140401925,0.0916482443714352,0.0333300906981617,0.0102761894031534,0.5
climatology,6,3,2014-2015,unusual,59217768,365599,0.0061738058077433,0.1148698508240128,0.0434300969094554,0.0630298218627499,0.0325404193488227,0.0226855441089141,0.0061215155329888,0.17
